id;start_date;end_date;language
1;2020-10-30T07:13:34;2020-10-30T05:03:49;SPANISH
2;2020-10-29T12:03:45;2020-10-30T07:08:10;SPANISH
3;2020-10-30T02:59:04;2020-10-29T13:33:13;FRENCH
4;2020-10-29T18:16:35;2020-10-30T05:48:01;FRENCH
5;2020-10-30T03:46:53;2020-10-30T08:33:52;FRENCH
6;2020-10-29T21:39:14;2020-10-30T09:47:28;FRENCH
7;2020-10-29T23:24:34;2020-10-29T17:15:25;FRENCH
8;2020-10-29T22:20:47;2020-10-30T08:36:55;SPANISH
9;2020-10-29T21:01:56;2020-10-29T17:43:19;SPANISH
10;2020-10-30T05:14:00;2020-10-29T15:48:30;SPANISH
